Name,Description,geometry
"FAT46-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.648231424274 34.6640571599126, 43.6494620569314 34.664666228507, 43.6498236427686 34.6641083431664, 43.64865680744 34.6635187868843, 43.648231424274 34.6640571599126))"
"FAT45-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6494620569314 34.664666228507, 43.6504137801141 34.6651425056283, 43.6501611125665 34.6654879385689, 43.6504408028473 34.6656437132207, 43.6511071582134 34.6647406122814, 43.6508034048793 34.6645927055168, 43.6507633039578 34.6645827594069, 43.6498236427686 34.6641083431664, 43.6494620569314 34.664666228507))"
"FAT41-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6498464819625 34.6664491869614, 43.6503271360296 34.6666965525814, 43.6515579731144 34.664960127809, 43.6511071582134 34.6647406122814, 43.6504408028473 34.6656437132207, 43.6498464819625 34.6664491869614))"
"FAT21-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6492405060894 34.6610685813658, 43.6493311174145 34.6609433107076, 43.6486397120165 34.6606176408647, 43.6479059789688 34.6615926879831, 43.6482260128815 34.661792386152, 43.6488850697439 34.6608841206302, 43.6492405060894 34.6610685813658))"
"FAT20-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6472022610453 34.6617839605529, 43.6475681363253 34.6619581868767, 43.6478716569929 34.6615673349049, 43.648411363077 34.6608537241714, 43.6481058676944 34.6606795471018, 43.6473194604423 34.661752812201, 43.647252032033 34.6617192928761, 43.6472022610453 34.6617839605529))"
"FAT23-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6474905851997 34.6627390119213, 43.6478537447498 34.6629249790487, 43.6479241227076 34.6629503624255, 43.6491104709237 34.6635281919115, 43.6498519441421 34.6624057590047, 43.6493866998028 34.6621216159189, 43.6487828083433 34.6617921786782, 43.6484762257831 34.6621982183554, 43.6484192467984 34.6621672295008, 43.6480932963183 34.6619748809263, 43.6476056816056 34.6626472828115, 43.6475658489709 34.6626275561734, 43.6474905851997 34.6627390119213))"
"FAT22-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6480932963183 34.6619748809263, 43.6484192467984 34.6621672295008, 43.6487371526031 34.6617549968712, 43.6487828083433 34.6617921786782, 43.6493866998028 34.662121615919, 43.6498519441421 34.6624057590047, 43.6502690897297 34.6618344488743, 43.6491812018814 34.661254830781, 43.6491152323781 34.6612352469139, 43.6492405060894 34.6610685813658, 43.6488850697439 34.6608841206302, 43.6480932963183 34.6619748809263))"
"FAT8-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6452372166487 34.6590016773434, 43.6451010631478 34.659211405341, 43.6456493709844 34.6594751617492, 43.6456770856391 34.6595149651251, 43.6449679811714 34.6605015356881, 43.6452943526451 34.6606692865513, 43.6461330801498 34.6595377619405, 43.6460842208693 34.6595136562556, 43.6461414143608 34.6594060861418, 43.6458589234376 34.6592618117738, 43.6457878746753 34.6592647360555, 43.6452372166487 34.6590016773434))"
"FAT7-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6441256103615 34.6597414814581, 43.6445920209275 34.6599904043305, 43.6452372166487 34.6590016773434, 43.6447927733613 34.6587758062302, 43.6441256103615 34.6597414814581))"
"FAT6-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6532501344746 34.6627340975169, 43.6524581935243 34.663840827332, 43.6523882358916 34.6638641882641, 43.652192164429 34.6637591962704, 43.6521047376048 34.6638576382106, 43.6510823427594 34.6633180248005, 43.6504794669214 34.6642421554987, 43.6516699777534 34.6648322194157, 43.6519917981882 34.6643902420795, 43.6520794019068 34.6643559812331, 43.652439630318 34.6645494847006, 43.6536002138564 34.6629349456112, 43.6532501344746 34.6627340975169))"
"FAT10-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6434364907259 34.6607280210466, 43.6450095597429 34.6615105961066, 43.6452202861542 34.6612148366864, 43.6438390726919 34.660528980144, 43.6438707845507 34.6604811524225, 43.6436704668253 34.6603865537919, 43.6434364907259 34.6607280210466))"
"FAT9-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6448844618776 34.6606184505568, 43.6455375765217 34.6609402623319, 43.646406412876 34.6596760275555, 43.6464785567587 34.6595782722278, 43.6461414143608 34.6594060861418, 43.6460842208693 34.6595136562556, 43.6461330801498 34.6595377619405, 43.6452943526451 34.6606692865513, 43.6449679811714 34.6605015356881, 43.6448844618776 34.6606184505568))"
"FAT18-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6467498890699 34.6612862631713, 43.6470530202862 34.6614633143844, 43.6479270794637 34.6602834431986, 43.6472468156796 34.6599447703364, 43.6471584840217 34.6600713445183, 43.6474905384985 34.6602408179459, 43.6467498890699 34.6612862631713))"
"FAT16-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6467818639047 34.6623910445637, 43.6471525768977 34.6625734588936, 43.6471827620356 34.6625762464704, 43.6474905851997 34.6627390119213, 43.6475658489709 34.6626275561734, 43.6476056816056 34.6626472828115, 43.6482260128815 34.661792386152, 43.6479059789688 34.6615926879831, 43.6476076860536 34.6619930401784, 43.6474215260382 34.6622510973137, 43.6473850013163 34.6622382784163, 43.6472577675564 34.6621750181501, 43.6472386668959 34.6622028928912, 43.6469533467224 34.6620462960314, 43.6467818639047 34.6623910445637))"
"FAT15-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6460705473466 34.6616051491057, 43.6461545665133 34.6616691637089, 43.6461867553695 34.6616254797019, 43.6472386668959 34.6622028928912, 43.6472577675564 34.6621750181501, 43.6473850013163 34.6622382784163, 43.6475502944316 34.6619999083447, 43.6462524793211 34.6613635602906, 43.6460705473466 34.6616051491057))"
"FAT11-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6436704668253 34.6603865537919, 43.6438707845507 34.6604811524225, 43.6438390726919 34.660528980144, 43.6452202861542 34.6612148366864, 43.6450095597429 34.6615105961066, 43.6451179377245 34.6615645123077, 43.6455156552583 34.6609867752585, 43.6438293632769 34.6601635889339, 43.6436704668253 34.6603865537919))"
"FAT24-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6430081468463 34.6639113560149, 43.6451995942367 34.66501154321, 43.6453922438393 34.6646398288911, 43.644894347531 34.6643898961965, 43.6432403789381 34.6635596413417, 43.6430081468463 34.6639113560149))"
"FAT25-FTK0002","FAT_Region_Synced_from_QGIS","POLYGON ((43.6451995942367 34.66501154321, 43.645636229041 34.6652409910564, 43.6461014910006 34.664578726285, 43.6450984129864 34.6640780759991, 43.644894347531 34.6643898961965, 43.6453922438393 34.6646398288911, 43.6451995942367 34.66501154321))"
"FTK0002","FDT_Synced_from_QGIS","POLYGON ((43.6498381411322 34.6673650990355, 43.6503090130806 34.6667274125483, 43.650621411217 34.6663005189784, 43.6515737705843 34.6649599366842, 43.6520469172763 34.6643487888736, 43.6534657723368 34.6650688502212, 43.653833349338 34.6645626147826, 43.6544513976384 34.6637333129055, 43.65499932007 34.6630496127997, 43.6542994094491 34.6626630185862, 43.6535503598066 34.6622858868636, 43.6531946626058 34.6620981899694, 43.6528250619315 34.6619128103208, 43.6511902451556 34.6610786019023, 43.6503910850768 34.6606684494298, 43.6498236495587 34.6603718419921, 43.6493894556631 34.6609641879004, 43.6487469993185 34.6606559942346, 43.6479585565007 34.6602840763147, 43.6475182798353 34.660063937982, 43.6469956160819 34.6598086852652, 43.6465653125793 34.6596091785316, 43.6448053645406 34.6587489010999, 43.6436786038641 34.6603530143715, 43.6429521473663 34.6614363266929, 43.6417193727032 34.6632808541962, 43.6432238444137 34.664037434887, 43.6498381411322 34.6673650990355))"
