lat,long,F_ID,NumFat,FAT_ID,NumZone,OLT_ID,AddrZone
34.2032581,43.9170104,FAT30-FTK0046,30,FAT30,46,FTK0046,حي صلاح الدين
34.20284051,43.91679562,FAT31-FTK0046,31,FAT31,46,FTK0046,حي صلاح الدين
34.20264808,43.91823736,FAT32-FTK0046,32,FAT32,46,FTK0046,حي صلاح الدين
34.20345948,43.90990936,FAT33-FTK0046,33,FAT33,46,FTK0046,حي صلاح الدين
34.20394591,43.91063485,FAT34-FTK0046,34,FAT34,46,FTK0046,حي صلاح الدين
34.20365567,43.91062898,FAT35-FTK0046,35,FAT35,46,FTK0046,حي صلاح الدين
34.20375864,43.91126978,FAT36-FTK0046,36,FAT36,46,FTK0046,حي صلاح الدين
34.20425,43.9131,FAT37-FTK0046,37,FAT37,46,FTK0046,حي صلاح الدين
34.2038593,43.91253127,FAT38-FTK0046,38,FAT38,46,FTK0046,حي صلاح الدين
34.20362158,43.91190833,FAT39-FTK0046,39,FAT39,46,FTK0046,حي صلاح الدين
34.20346109,43.91239587,FAT40-FTK0046,40,FAT40,46,FTK0046,حي صلاح الدين
34.20312724,43.91216542,FAT41-FTK0046,41,FAT41,46,FTK0046,حي صلاح الدين
34.20257745,43.91263761,FAT42-FTK0046,42,FAT42,46,FTK0046,حي صلاح الدين
34.20247825,43.91096864,FAT43-FTK0046,43,FAT43,46,FTK0046,حي صلاح الدين
34.20312129,43.91159913,FAT44-FTK0046,44,FAT44,46,FTK0046,حي صلاح الدين
34.2022998,43.91148202,FAT45-FTK0046,45,FAT45,46,FTK0046,حي صلاح الدين
34.20196218,43.91264564,FAT46-FTK0046,46,FAT46,46,FTK0046,حي صلاح الدين
34.20303083,43.91575692,FAT47-FTK0046,47,FAT47,46,FTK0046,حي صلاح الدين
34.20295557,43.91617884,FAT48-FTK0046,48,FAT48,46,FTK0046,حي صلاح الدين
34.20521343,43.91298054,FAT01-FTK0048,1,FAT01,48,FTK0048,حي صلاح الدين
34.20523295,43.9128232,FAT02-FTK0048,2,FAT02,48,FTK0048,حي صلاح الدين
34.20432,43.9114,FAT03-FTK0048,3,FAT03,48,FTK0048,حي صلاح الدين
34.20505571,43.91036428,FAT04-FTK0048,4,FAT04,48,FTK0048,حي صلاح الدين
34.20497,43.91128,FAT05-FTK0048,5,FAT05,48,FTK0048,حي صلاح الدين
34.20608,43.91158,FAT06-FTK0048,6,FAT06,48,FTK0048,حي صلاح الدين
34.20628108,43.91253497,FAT07-FTK0048,7,FAT07,48,FTK0048,حي صلاح الدين
34.20943902,43.91308238,FAT08-FTK0048,8,FAT08,48,FTK0048,حي صلاح الدين
34.20934778,43.91172388,FAT09-FTK0048,9,FAT09,48,FTK0048,حي صلاح الدين
34.20856142,43.91211072,FAT10-FTK0048,10,FAT10,48,FTK0048,حي صلاح الدين
34.20615,43.91063,FAT11-FTK0048,11,FAT11,48,FTK0048,حي صلاح الدين
34.20412073,43.91193977,FAT12-FTK0048,12,FAT12,48,FTK0048,حي صلاح الدين
34.20543,43.9118,FAT13-FTK0048,13,FAT13,48,FTK0048,حي صلاح الدين
34.20566,43.91308,FAT14-FTK0048,14,FAT14,48,FTK0048,حي صلاح الدين
34.20545135,43.9159205,FAT15-FTK0048,15,FAT15,48,FTK0048,حي صلاح الدين
34.20551,43.91742,FAT16-FTK0048,16,FAT16,48,FTK0048,حي صلاح الدين
34.20498902,43.91758589,FAT17-FTK0048,17,FAT17,48,FTK0048,حي صلاح الدين
34.20593905,43.91738981,FAT18-FTK0048,18,FAT18,48,FTK0048,حي صلاح الدين
34.20838071,43.91589804,FAT19-FTK0048,19,FAT19,48,FTK0048,حي صلاح الدين
34.20688403,43.91498784,FAT20-FTK0048,20,FAT20,48,FTK0048,حي صلاح الدين
34.20807,43.91579,FAT21-FTK0048,21,FAT21,48,FTK0048,حي صلاح الدين
34.20794416,43.91451809,FAT22-FTK0048,22,FAT22,48,FTK0048,حي صلاح الدين
34.2071,43.9176,FAT23-FTK0048,23,FAT23,48,FTK0048,حي صلاح الدين
34.20769769,43.9168321,FAT25-FTK0048,25,FAT25,48,FTK0048,حي صلاح الدين
34.20644354,43.91855072,FAT26-FTK0048,26,FAT26,48,FTK0048,حي صلاح الدين
34.20676,43.91689,FAT27-FTK0048,27,FAT27,48,FTK0048,حي صلاح الدين
34.20664819,43.91560133,FAT28-FTK0048,28,FAT28,48,FTK0048,حي صلاح الدين
34.2072752,43.91677263,FAT29-FTK0048,29,FAT29,48,FTK0048,حي صلاح الدين
34.20701,43.91629,FAT30-FTK0048,30,FAT30,48,FTK0048,حي صلاح الدين
34.207845,43.91682729,FAT31-FTK0048,31,FAT31,48,FTK0048,حي صلاح الدين
34.20894508,43.91637272,FAT32-FTK0048,32,FAT32,48,FTK0048,حي صلاح الدين
34.20757522,43.91627002,FAT33-FTK0048,33,FAT33,48,FTK0048,حي صلاح الدين
34.20953557,43.91381398,FAT34-FTK0048,34,FAT34,48,FTK0048,حي صلاح الدين
34.20868764,43.91405231,FAT35-FTK0048,35,FAT35,48,FTK0048,حي صلاح الدين
34.20895073,43.9148129,FAT36-FTK0048,36,FAT36,48,FTK0048,حي صلاح الدين
34.20963005,43.91325067,FAT37-FTK0048,37,FAT37,48,FTK0048,حي صلاح الدين
34.20835465,43.91330077,FAT38-FTK0048,38,FAT38,48,FTK0048,حي صلاح الدين
34.20816,43.91199,FAT39-FTK0048,39,FAT39,48,FTK0048,حي صلاح الدين
34.20659123,43.91177288,FAT40-FTK0048,40,FAT40,48,FTK0048,حي صلاح الدين
34.20657104,43.9123259,FAT41-FTK0048,41,FAT41,48,FTK0048,حي صلاح الدين
34.2064284,43.9111855,FAT42-FTK0048,42,FAT42,48,FTK0048,حي صلاح الدين
34.20933,43.91105,FAT43-FTK0048,43,FAT43,48,FTK0048,حي صلاح الدين
34.20915,43.91062,FAT44-FTK0048,44,FAT44,48,FTK0048,حي صلاح الدين
34.20841,43.91125,FAT45-FTK0048,45,FAT45,48,FTK0048,حي صلاح الدين
34.20801609,43.91170196,FAT46-FTK0048,46,FAT46,48,FTK0048,حي صلاح الدين
34.20773858,43.91124183,FAT47-FTK0048,47,FAT47,48,FTK0048,حي صلاح الدين
34.20728,43.91189,FAT48-FTK0048,48,FAT48,48,FTK0048,حي صلاح الدين
34.21053223,43.9100563,FAT01-FTK0051,1,FAT01,51,FTK0051,حي الافراز
34.21018869,43.90941283,FAT02-FTK0051,2,FAT02,51,FTK0051,حي الافراز
34.2099192,43.91063239,FAT03-FTK0051,3,FAT03,51,FTK0051,حي الافراز
34.20896267,43.91035789,FAT04-FTK0051,4,FAT04,51,FTK0051,حي الافراز
34.21007549,43.90986093,FAT05-FTK0051,5,FAT05,51,FTK0051,حي الافراز
34.20972191,43.90938083,FAT06-FTK0051,6,FAT06,51,FTK0051,حي الافراز
34.21055682,43.90906287,FAT07-FTK0051,7,FAT07,51,FTK0051,حي الافراز
34.20998982,43.9083727,FAT08-FTK0051,8,FAT08,51,FTK0051,حي الافراز
